i,base-1,aosdb-1,aosdboptcompile-1,base-2,aosdb-2,aosdboptcompile-2,base-4,aosdb-4,aosdboptcompile-4,base-8,aosdb-8,aosdboptcompile-8,base-16,aosdb-16,aosdboptcompile-16
0,34132,34001,35038,28420,28784,25890,25102,24178,23212,20114,21061,20706,19733,19006,20989
1,37458,32663,35423,28329,28420,25731,24206,24079,22713,20587,20641,21178,19923,20291,20933
2,37016,33920,32462,28771,28100,26704,23141,23502,23687,21584,19230,20713,20648,19711,21022
3,34122,33361,35364,28573,28364,25519,24357,23777,23544,20246,19894,20023,20763,19354,21120
4,32797,31855,33876,28088,29908,26260,24482,23125,22868,20319,20004,21121,19773,19375,19802
5,36525,36006,35811,28870,29211,25486,23541,23073,23693,20075,20174,21077,20577,20143,20481
6,34244,35597,36858,27738,27558,28098,23854,23984,22836,20537,20023,20747,20473,19164,20346
7,33542,33693,35465,28246,27403,25817,23921,22716,22829,19496,20276,20684,20127,18039,21061
8,33356,33421,35101,27679,28461,26415,23867,23338,24058,19168,20014,-1,19960,20231,20789
9,32009,33079,33764,29336,-1,26258,22572,23047,23170,20422,20040,20978,20136,19596,20243
